O.K.	they gave us the O.K. to go ahead
photochemistry	He pioneered as well early photographic and photochemistry procedures together with Carl August von Steinheil.
photochemistry	He contributed to photochemistry by inventing the first process for the production and development of cellulose acetate film, which he patented with Becker.
photochemistry	Studies of biological systems, phototransformation in biomolecules, laser photochemistry and spectroscopy of biomolecules.
photochemistry	The UARS mission objectives were to provide an increased understanding of the energy input into the upper atmosphere, global photochemistry of the upper atmosphere, dynamics of the upper atmosphere, the coupling among these processes, and the coupling between the upper and lower atmosphere.
photochemistry	Selig Hecht (1892–1947) was an American physiologist who studied photochemistry in photoreceptor cells.
photochemistry	"In 2006 he was described as a ""major force in the field of inorganic photochemistry and photophysics""."
photochemistry	Her specialized knowledge of photochemistry was valued, and she became head of a small research group.
photochemistry	NA-MQC dynamics has been often used in theoretical investigations of photochemistry and femtochemistry, especially when time-resolved processes are relevant.
photochemistry	Craig L. Hill’s achievements include the development of polyoxometalate photochemistry and polyoxometalate-based catalysts for the functionalization of C-H bonds Carbon-hydrogen bond activation and very fast air-based oxidations (for decontamination, remediation, chemical transformations).
photochemistry	DNA photobinding is the most studied aspect of the photobiology and photochemistry of angelicin.
photochemistry	The short atmospheric lifetime of SO2 photochemistry is produced only with lowered O2-O3 level.
photochemistry	Klein's research with Ward, which focused on photochemistry was published in the Journal of the American Chemical Society.
photochemistry	Brinton began his professorial career at the University of California, Davis, in 1948; his research focused of photochemistry and chemical kinetics, and he had a special expertise in laboratory design (glass blowing, machining, and electronics).
photochemistry	John Philip Simons (born 20 April 1934) is a British physical chemist known for his research in photochemistry and photophysics, molecular reaction dynamics and the spectroscopy of biological molecules.
photochemistry	Simons first worked at the University of Birmingham, successively holding positions as an ICI Fellow (1960), lecturer (1961–67), reader (from 1975) and professor of photochemistry from 1979.
photochemistry	Lindzen's work on ozone photochemistry has been important in studies that look at the effects that anthropogenic ozone depletion will have on climate.
photochemistry	His research is focused on structural analysis, synthesis, stereochemistry and photochemistry of plant and animal photosensitizing and photosensory pigments, such as hypericin.
photochemistry	Falk's main research area is the structural analysis, synthesis, stereochemistry and photochemistry of plant and animal photosensitizing and photosensory pigments.
photochemistry	Stefan Grimme (born 1963), is a German physical chemist; he completed a Ph.D. thesis on photochemistry at Technical University of Braunschweig in 1991; he is a professor at the Universität Bonn since 2011 who is active in the field of computational chemistry; he was elected a member of the Academy of Sciences Leopoldina in 2018.
photochemistry	He has made major contributions to the study of enzyme catalysis, the mechanisms and structures of enzymes and the photochemistry of photoreceptor proteins.
photochemistry	Villy Sundström (born February 6, 1949) is a Swedish physical chemist known for his work in ultrafast science and molecular photochemistry using time-resolved laser and X-ray spectroscopy techniques.
photochemistry	The developing of theoretical tools is the main goal of the projects: computational codes based on electronic structure theory for the investigation of organic photochemistry and for simulation of spectroscopic experiments.
photochemistry	This tools are developed for the investigation of organic photochemistry with the aim of accurate simulation of spectroscopic experiments on the computer.
photochemistry	His research program focused on organic photochemistry and later on fullerenes.
photochemistry	In addition, from 1967 to 1969, he chaired two committees established by Israel's National Council for Research and Development – on technical applications of photochemistry and on bromine chemistry.
photochemistry	In 1920, he assumed a professorship of photochemistry at Yale University.
photochemistry	In London, he took up research on various problems of photochemistry and he led to the exposition of theory of anomaly of strong electrolytes and the ionization theory.
photochemistry	In 1971, he became the chief of the photochemistry section of the National Bureau of Standards (NIST).
photochemistry	On October 18, 1973 he died suddenly in his office as the chief of the photochemistry section at the National Bureau of Standards.
photochemistry	Photogeochemistry merges photochemistry and geochemistry into the study of light-induced chemical reactions that occur or may occur among natural components of Earth's surface.
photochemistry	Except for several isolated instances, studies that fit the definition of photogeochemistry have not been explicitly specified as such, but have been traditionally categorized as photochemistry, especially at the time when photochemistry was an emerging field or new facets of photochemistry were being explored.
photochemistry	As another example, the observation that the amount of nitrous acid in the atmosphere greatly increases during the day lead to insight into the surface photochemistry of humic acids and soils and an explanation for the original observation.
photochemistry	From 2017 to 2018 they doubled the size of the Bad Sarrow factory to be able to install film coating capability (still in progress in 2021) and medium scale photochemistry manufacture.
photochemistry	SPUR (Speed Photography &amp; Ultra high Resolution) is a supplier of own brand specialist photochemistry and films based in Langerwehe, Germany.
photochemistry	Together they carry out the primary photochemistry of photosynthesis: the absorption of light and the transfer of energy and electrons.
photochemistry	Each photosystem has two parts: a reaction center, where the photochemistry occurs, and an antenna complex, which surrounds the reaction center.
photochemistry	"As a consequence, photochemistry can be used to produce compositions that are ""contra-thermodynamic""."
photochemistry	Gerischer recognized the theoretical implications of semiconductor electrochemistry in charge transfer and its potential applications in photochemistry and photovoltaic devices.
photochemistry	"His first photochemistry experiment was published in 1886 and was titled ""On the conversion of quinone into quinol."
photochemistry	Norrish researched photochemistry using continuous light sources (including after the war, searchlights).
photochemistry	The James Webb Space Telescope has observed the presence of sulfur dioxide on the exoplanet WASP-39b, where it is formed through photochemistry in the planet's atmosphere.
photochemistry	In addition, these organisms that undergo photochemistry can and do utilize the citric acid cycle.
photochemistry	"Using this MOF photochemistry of ""o""-methyl dibenzyl ketone (""o""-MeDBK) was extensively studied."
photochemistry	CNEP is also applying basic concepts of photochemistry to suggest an original approach to the long-term prediction of plastic weathering.
photochemistry	Eley worked in a variety of areas including heterogeneous catalysis, organic semiconductors, molecular sieves, photochemistry and radiation chemistry, X-ray crystallography, equilibria in solution, colloids and interfaces and magnetic properties of materials.
photochemistry	As an exception to the conventional radical ion pair model, this mode of covalent bond formation is of interest to photochemistry research, as well as the many biological fields using fluorescence spectroscopy techniques.
photochemistry	James N. Pitts Jr. (January 10, 1921 – June 19, 2014) was an American chemist and researcher known for his work in the fields of photochemistry and atmospheric chemistry.
photochemistry	His major research interests are in photochemistry and solar energy conversion, storage.
photochemistry	Kalyanasundaram has authored over 120 research papers in international journals and 4 research monographs on his photochemistry research.
photochemistry	Dr. Thurnauers studies focused on the fundamental mechanisms of photophysics and photochemistry and their applications to the design of artificial photocatalytic systems.
photochemistry	He then came up with his theory of acids and bases, and did work in photochemistry during the last years of his life.
photochemistry	He was known for his researches on photochemistry of co-ordination compounds and macromolecular dye coatings for stabilization of electrodes and was an elected fellow of the Indian National Science Academy, International Union of Pure and Applied Chemistry (IUPAC) and the Indian Academy of Sciences.
photochemistry	Additionally, his work in atmospheric photochemistry has illuminated many of the chemical processes which occur in the atmospheres of Jupiter and Saturn's moon, Titan.
photochemistry	Ferris constructed gaseous simulations of the atmospheres of Jupiter and Titan and analyzed their composition using a combination of photochemistry techniques, including x-ray photoelectron spectroscopy and infrared spectroscopy.
photochemistry	LUVOIR's multi-wavelength capability would also provide key information to help understand how a host star's UV radiation regulates the atmospheric photochemistry on habitable planets.
photochemistry	He pioneered photochemistry research at National Institute for Interdisciplinary Science and Technology and established the Photochemistry Research Unit at the institution.
photochemistry	"He is known to have studied the solid-state photochemistry of o-alkylaromatic aldehydes and Norrish Type II photochemistry of disubstituted butyrophenones and he demonstrated that ""the product formation emanates at the triplet state and that the diastereomeric 1,4-biradicals of the precursors of the products likewise collapse with different rates""."
photochemistry	1) First Law of Photochemistry: This law explains that in order for photochemistry to happen, light has to be absorbed.
photochemistry	French histories of photography have claimed that Charles Cros and Ducos du Hauron simultaneously invented its application to photography around 1868, though English histories of photography have claimed that it was first suggested by J. C. Maxwell and defectively demonstrated with the help of by Thomas Sutton in 1861 (according to Maxwell himself, Sutton's widespread photochemistry wasn't sensitive enough to red and green light).
photochemistry	In 1997 Pöschl became a research assistant at the Max Planck Institute for Chemistry in the Department of Atmospheric Chemistry and a researcher in the group of Paul Crutzen on the photochemistry of ozone, organic trace gases and stratospheric clouds.
photochemistry	Bullivant studied Chemistry at the University of Wales (Cardiff) and obtained a PhD in organic photochemistry at the Universities of Cardiff and Nottingham.
photochemistry	It should be noted here that the use of xenon lamps is based on a similarity with the solar spectrum but that the principles of photochemistry (in particular the existence of vibrational relaxations of excited states) do not exclude the use of other light sources to simulate or accelerate photothermal ageing.
photochemistry	The photochemistry of these processes, which has been studied by Jean-Louis Marignier of Université Paris-Sud since the 1990s, is still to be fully understood.
photochemistry	Conical intersections are also called molecular funnels or diabolic points as they have become an established paradigm for understanding reaction mechanisms in photochemistry as important as transitions states in thermal chemistry.
photochemistry	Lab experiments on the photochemistry of simple interstellar ices have produced amino acids.
photochemistry	While there are photochromic pigments with poor fluorescence, this problem has been alleviated by engineering protein variants that reduce photochemistry and enhance fluorescence.
photochemistry	Using dynamics and other quantum chemical methods, his research has focused on the simulations of the ultrafast photochemistry and photophysics of organic molecules.
photochemistry	He is an international board member of the International Union of Pure and Applied Chemistry (IUPAC) photochemistry symposium.
photochemistry	After his stay in Arizona, Frans had short research stays in the groups of Prof. Theodor Föster in 1970 (Stuttgart University, Germany), and in 1971 (Max Planck institute for Biophysical Chemistry, Germany) with his focus on photochemistry and photophysics, back then an emerging domain.
photochemistry	During his teaching activities the curricula at the KU Leuven changed and new courses including the topics of spectroscopy and photochemistry were introduced by Frans.
photochemistry	Up to this day, Frans remains passionate about science and is still enjoying the newest developments in the fields of photochemistry and photophysics.
photochemistry	While the method of using photochemistry that Bigeleisen used as an approach was not successful in isolating useful quantities of uranium-235 for the war effort, it did lead to the development of isotope chemistry, which takes advantage of the ways that different isotopes of an element interact to form chemical bonds.
urban sociology	Her teaching of urban sociology and urban planning, and her doctoral research work provided her confidence to conduct the functions of the mayor of the city smoothly.
urban sociology	The Paris agglomeration's urban sociology is basically that of 19th-century Paris: the wealthy live in the west and southwest, and the middle-to-working classes are in the north and east.
urban sociology	Skopje is an ethnically diverse city, and its urban sociology primarily depends on ethnic and religious belonging.
urban sociology	Taxi is about urban sociology in the Egyptian capital through the voices of taxi drivers.
urban sociology	In North America, community studies drew inspiration from the classic urban sociology texts produced by the Chicago School, such as the works of Louis Wirth and William Foote Whyte.
urban sociology	There are plans to attract foreign experts on urban sociology and anthropology, geography, architecture, environmental design and urban planning, such as employees of Delft University of Technology and the University of Massachusetts that can provide research centers and offices in Russia, USA and Europe.
urban sociology	In 2010, he received the Roger Gould Prize given by the American Journal of Sociology for the best article published in 2008/2009, and was co-winner of the best article in urban sociology published in 2008/2009 Jane Addams Award given by the ASA Community and Urban Sociology Section.
urban sociology	Fainstein is married to urban sociology professor Norman I. Fainstein, who served previously as dean of arts and sciences at Baruch College in the City University of New York, dean of the faculty at Vassar College, and president of Connecticut College.
urban sociology	He served as a professor at Wayne State from 1949-1987, focusing his efforts on urban sociology and teaching courses that required students to go out in communities to see racial, ethnic and industrial change first-hand.
urban sociology	She had not taken any specific courses in urban sociology before being hired to teach the subject to undergraduates at Brooklyn College.
urban sociology	In an interview, she describes how she first immersed herself in urban sociology literature to aid her teaching, and was later inspired to carry out field research by reading a newspaper article about manufacturers who were being forced out of their loft space in Lower Manhattan.
urban sociology	She began teaching urban sociology just as the “new urban sociology” was emerging, partly in response to a series of urban riots (many of which involved African-Americans reacting to police brutality or other manifestations of systemic racism) that took place in U.S. cities in the late 1960s.
urban sociology	Zukin's view, at least in 1980, was that “For most of their history, urban sociologists seemed to serve the interests of the state as much as industrial sociologists served the interests of capital.” She and other sociologists influenced by the new urban sociology intended to take a different course.
urban sociology	and Ph.D. from the New School for Social Research with a concentration in urban sociology and sociology of art.
urban sociology	He received his Ph.D. in sociology from the New School for Social Research, New York with a concentration of urban sociology and sociology of arts.
urban sociology	As interest in urban societies increased, methodology between these two fields and subject matters began to blend, leading some to question the differences between urban sociology and urban anthropology (Prato and Pardo 2013).
urban sociology	In the 1920s and 1930s The Chicago School produced a major body of theory on the nature of the city, important to both urban sociology and criminology, utilizing symbolic interactionism as a method of field research.
urban sociology	"Simmel unfolded also an urban sociology (his articles were read in Chicago school): in his question of the specific ways of life in big cities ( ""Big cities and life of spirit"", 1903)."
urban sociology	"While teaching urban sociology at WRU, he co-authored with Louis H Massotti and Calvin J. Larsen ""Metropolis in crisis: social and political perspectives""."
urban sociology	She is the author of several books and articles on urban sociology and women's studies in India.
urban sociology	"Her ""thèse de 3e cycle"" (doctoral dissertation) in urban sociology (""Structure sociale et organisation urbaine : les élus locaux et les actions régionales d'aménagement""), presented in 1972, dealt with the attitude of French local elected officials to regional development policies."
urban sociology	She founded a strategic planning and communications consultancy, Tick Consulting, while pursuing a PhD in urban sociology at the University of Calgary, where she also taught and eventually directed a real-estate studies initiative at the university's Haskayne School of Business.
urban sociology	Neighbourhood sociology is a subfield of urban sociology which studies local communities Neighbourhoods are also used in research studies from postal codes and health disparities, to correlations with school drop out rates or use of drugs.
urban sociology	The field of urban sociology (as well as urban geography, planning, and economics) was dominated by the idea that cities were basically containers for human action, in which actors competed among themselves for the most strategic parcels of land, and the real estate market reflected the state of that competition.
urban sociology	Articles from urban sociology include contributions from Loïc Wacquant and Saskia Sassen.
urban sociology	According to Sue Jewell, an urban sociology researcher at the Ohio State University from 1982 to 2011, there are typically three main archetypes of African-American women in media – the Mammy, the Sapphire, and the Jezebel.
urban sociology	"In urbanism, the term ""urban area"" contrasts to rural areas such as villages and hamlets; in urban sociology or urban anthropology it contrasts with natural environment."
urban sociology	"His doctoral thesis, ""Una aproximación estadística a la realidad socioeconómica de Bogotá"", a pioneering work in urban sociology in Latin America, was published in 1987 under the title ""La proletarización de Bogotá""."
urban sociology	"One of Drake's former students characterizes his research as drawing heavily from urban sociology and history, which led his peers in the 1940s to see ""his scholarship ... [as] more sociological than anthropological"" and ""virtually ignored within anthropology as a consequence."""
urban sociology	The philosophical foundations of modern urban sociology originate from the work of sociologists such as Karl Marx, Ferdinand Tönnies, Émile Durkheim, Max Weber and Georg Simmel who studied and theorized the economic, social and cultural processes of urbanization and its effects on social alienation, class formation, and the production or destruction of collective and individual identities.
urban sociology	The importance of theories developed by the Chicago School within urban sociology has been critically sustained and critiqued but still, remains one of the most significant historical advancements in understanding urbanization and the city within the social sciences.
urban sociology	The theory of symbolic interaction, the basis through which many methodologically groundbreaking ethnographies were framed in this period, took primitive shape alongside urban sociology and shaped its early methodological leanings.
urban sociology	Due to the high concentration of first-generation immigrant families in the inner city of Chicago during the early 20th century, many prominent early studies in urban sociology focused on the transmission of immigrants' native culture roles and norms into new and developing environments.
urban sociology	The rise of urban sociology coincided with the expansion of statistical inference in the behavioural sciences, which helped ease its transition and acceptance in educational institutions along with other burgeoning social sciences.
urban sociology	Many theories in urban sociology have been criticized, most prominently directed toward the ethnocentric approaches taken by many early theorists that lay the groundwork for urban studies throughout the 20th century.
urban sociology	The concept of urban sociology as a whole has often been challenged and criticized by sociologists through time.
urban sociology	Manuel Castells questioned if urban sociology even exists and devoted 40 years' worth of research in order to redefine and reorganize the concept.
urban sociology	With the growing population and majority of Americans living in suburbs, Castells believes that most researchers focus their work of urban sociology around cities, neglecting the other major communities of suburbs, towns, and rural areas.
urban sociology	"He also believes that urban sociologists have overcomplicated the term of urban sociology and should possibly create a more clear and organized explanation for their studies, arguing that a ""Sociology of Settlements,"" would cover most issues around the term."
urban sociology	Later on, in France, simultaneously to her studies in anthropology, urban sociology (Paris V), and regional planning (IEDES-Paris I), she dedicated herself exclusively to urban themes: new towns, IAURIF, and particularly to the urbanism workshop of Antony.
urban sociology	"A 1996 criminology and urban sociology book, ""Fixing Broken Windows: Restoring Order and Reducing Crime in Our Communities"" by George L. Kelling and Catharine Coles, is based on the article but develops the argument in greater detail."
urban sociology	The community and urban sociology section of the American Sociological Association awarded her its Outstanding Lifetime Contribution award in 2002.
urban sociology	"The 1967 book ""The Levittowners"", by sociologist Herbert J. Gans, was a famous case study in American urban sociology based on the development of Levittown."
urban sociology	"In his pioneering 1899 work of urban sociology ""The Philadelphia Negro"" W. E. B."
urban sociology	In 1960, he completed a Bachelor of Arts in urban sociology with honours, followed by a Master of Arts (MA) with distinction in political anthropology, before leaving the university in 1963.
urban sociology	"Aimee Cox, in her 2015 study of a group of black girls in Detroit, states that although she was not interested in critiquing ""Black Metropolis"", she denotes it as beginning a trend in urban sociology of focusing on the success of black men, and excluding black women."
urban sociology	From 1993–2002 he was assistant professor of sociology at the University of Florence and then associate professor of urban sociology from 2002 to 2009.
urban sociology	The Chicago school is best known for its urban sociology and for the development of the symbolic interactionist approach, notably through the work of Herbert Blumer.
urban sociology	His work, together with that of his Chicago colleagues, such as Ernest Burgess, Homer Hoyt, and Louis Wirth – developed into an approach to urban sociology that became known as the Chicago School.
urban sociology	In 1965, he joined the Urban Science and Planning Institute, there undertaking research in urban sociology with the sociological research group of the Hungarian Academy of Sciences.
urban sociology	"The result was a study in ""concrete social psychology"", the 1969 ""Industrializare și urbanizare"", which, according to sociologist Irina Tomescu-Dubrow, samples the ""valuable work"" produced in urban sociology under communism."
urban sociology	In 1972, Maffesoli was co-director the ESU urban sociology research team in Grenoble.
urban sociology	He studied geography and urban sociology in Brazil in the 1980s, and received his PhD degree in geography (Nebenfach [minor]: political science) from the University of Tübingen (Germany) in 1993.
urban sociology	Anja Jørgensen (born 1969) is a Danish professor of urban sociology at Aalborg University.
urban sociology	He was then admitted to Korea National University of Arts (K-ARTS) and earned a bachelor's degree in theatre, as well as a master's degree in public policy from Korea University and a doctorate in urban sociology from University of Seoul.
urban sociology	He also published several studies in urban sociology that led him to teach at the Institute of Advanced Studies of Tunis and the Faculty of Humanities and Social Sciences of Tunis.
urban sociology	Zorbaugh's primary interest in urban sociology concerned the causes and effects of social and geographical segregation within the city and the issues created by the tensions between the need for social and community cohesion and those boundaries that inevitably emerge between different social groups rooted in geography, race and economic status.
urban sociology	It is a direct component of disciplines such as urban planning, which is the profession focusing on the physical design and management of urban structures and urban sociology which is the academic field the study of urban life and culture.
urban sociology	Identification of 'vice areas' and, latterly, 'gay villages', has been a stock in trade of urban sociology since at least the time of the Chicago School.
urban sociology	Calhoun's work became used as an animal model of societal collapse, and his study has become a touchstone of urban sociology and psychology in general.
urban sociology	After qualifying intermediate examination from Peshawar Board, he studied sociology as a major subject, along with mass communication, community development and urban sociology as specialized subjects in Bachelor of Arts (Honors) in Karachi University.
multilingualism	The aims of the Autshumato project is to research, develop and support open-source translation software in order to promote multilingualism and access to information in South Africa.
multilingualism	Internationality, multilingualism and multiculturalism are an integral part of teaching and everyday activities at VAMK.
multilingualism	It explores what people living in the Western world can learn from traditional societies, including differing approaches to conflict resolution, treatment of the elderly, childcare, the benefits of multilingualism and a lower salt intake.
multilingualism	Some countries promote multilingualism in their policies: bilingual policy in Singapore, three-language formula in India, just to name a few.
multilingualism	This is an incomplete list of areas with either multilingualism at the community level or at the personal level.
multilingualism	Kazakhstan is taking its huge step into multilingualism by accepting the trilingualism policy and making changes in law.
multilingualism	"Former president Nursultan Nazarbaev noted that ""The multinationality and multilingualism are one of the values and the main feature of our state."
multilingualism	"Fara, in the same first modern monograph dedicated to Sardinia, reported the lively multilingualism in ""one and the same people"", because of immigration ""by Spaniards and Italians"" who came to the island to trade with the native Sardinians."
multilingualism	The Babatha Archive is a suggestive example of multilingualism in the Empire.
multilingualism	In fact multilingualism is a common phenomenon in Malta, with English, Maltese and on occasion Italian, used in everyday life.
multilingualism	"Ennaji also concluded ""This survey confirms the idea that multilingualism in Morocco is a vivid sociolinguistic phenomenon, which is favored by many people."""
multilingualism	Poles and Ruthenians, identification was less problematic, and the widespread multilingualism blurred ethnic divisions.
multilingualism	The European Year of Languages, 2001 was a joint initiative of the Council of Europe and European Commission to promote multilingualism and a greater languages capability across Europe.
multilingualism	"Thus, ""most deaf people are bilingual to some extent in [an oral] language in some form"" In discussions of multilingualism in the United States, bimodal bilingualism and bimodal bilinguals have often not been mentioned or even considered, in part because American Sign Language, the predominant sign language used in the U.S., only began to be acknowledged as a natural language in the 1960s (in discussions of bimodal bilingualism in the U.S., the two languages involved are generally ASL and English)."
multilingualism	Most modern neurological studies of bilingualism employ functional neuroimaging techniques to uncover the neurological underpinnings of multilingualism and how multilingualism is beneficial to the brain.
multilingualism	Neuroimaging and other neurological studies have demonstrated in recent years that multilingualism has a significant impact on the human brain.
multilingualism	She has written numerous articles and books about multilingualism in post-Soviet Eastern Europe.
multilingualism	The creation of the conference interpreting service – and the interpreting profession itself – at the United Nations has a direct connection with the evolution of international diplomatic relations, the League of Nations, the Nuremberg trials, the founding of the United Nations, and the birth of multilingualism within the United Nations itself.
multilingualism	In reflecting on these legal battles, Stella noted that her multilingualism in Swedish and Spanish was indispensable when liasing with the Swedish and Ecuadorian authorities.
multilingualism	His research is in the areas of phonetics, phonology, language acquisition, and language attrition, with a focus on second-language acquisition and multilingualism in adulthood and heritage language speakers and learners.
multilingualism	"She earned her PhD in 1968 from McGill University, with a dissertation entitled, ""Social aspects of multilingualism in New Guinea."""
multilingualism	The language appears to be a classic case of shift, whereby speakers of one language retained multilingualism over a long period of time, absorbing aspects of another language.
multilingualism	Their common ambition is to foster multilingualism and intercultural education, with a special focus on teacher education.
multilingualism	Filipinos believe in the importance of multilingualism and multiculturalism; in the Philippines, there are over 120 distinct languages based in different regions spoken by different tribes and ethnic groups.
multilingualism	This syntactic realignment has also occurred in Sinitic, which Scott DeLancey (2011) argues to be a result of creolization through intensive language contact and multilingualism during the Zhou Dynasty.
multilingualism	Interlinguistics first appeared as a branch of studies devoted to the establishment of norms for auxiliary languages, but over its century-long history it has been understood by different authors more and more broadly as an interdisciplinary branch of science which includes various aspects of communication, language planning and standardization, multilingualism and globalisation, language policy, translation, sociolinguistics, intercultural communication, the history of language creation and literature written in planned languages (international auxiliary languages (auxlangs) as well as constructed languages : conlangs), fictional artistic languages (artlangs), lingua francas, pidgins, creoles and constructed languages in the internet and other topics were added.
multilingualism	"(plulingva) ""Language Problems and Language Planning"" (LPLP) is een 'peer-reviewed international and multilingual journal devoted to the study of multilingualism and language policy' en heeft geregeld een rubriek Interlinguistics / Interlingüística / Interlinguistik / Interlingvistiko"
multilingualism	Especially in societies like the United States, where multilingualism and ethnic diversity are not particularly valued, language-minority children encounter powerful forces for language shift or assimilation when they enter the majority-speaking world of the classroom.
multilingualism	This study played a large role in our understanding of multilingualism and the effects that it has on the brain.
multilingualism	"C. Coville from ""Cracked magazine"" questioned the choice to script her as ""an espionage expert who knows nine languages ... all at age 28"", describing excessive multilingualism as a common problem in television dramas."
multilingualism	After leading an unusual procession of the Black Madonna's empty picture frame through Krakow, Wojtyla attends all four Vatican II sessions, where he impresses many influential foreign cardinals with his charisma, multilingualism and viewpoints, both before and during his term as Kraków's archbishop.
multilingualism	The step has been taken to embrace global culture and emphasize a multilingualism approach.
multilingualism	Due to the very small number of speakers of Karaim and the high level of multilingualism in Lithuania in general, there is also a high level of multilingualism among Karaim speakers.
multilingualism	For this reason, bilingualism and multilingualism are common among speakers of Hui.
multilingualism	Prior to colonization, multilingualism was common across Indigenous nations, many of whom often seasonally migrated.
multilingualism	Testimonies by travelers to the areas that would become modern-day Sudan, like Ibn Battuta, indicate that Arabic coexisted alongside indigenous Sudanese languages, with multilingualism in Arabic and non-Arabic Sudanese languages being well-attested by travelers to the region up until the 19th-century.
multilingualism	"to demonstrate the author's pessimism regarding Africa, the African National Congress (ANC), ""the new"" South Africa, and supporters of the idea that Afrikaans can only survive by developing multilingualism in South Africa, then Roodt's vision succeeds."
multilingualism	The beneficial effect of multilingualism on people's behavior and cognition is well-known nowadays.
multilingualism	Researchers have found that the effect of multilingualism on better cognition is due to neuroplasticity.
multilingualism	A recent study found that multilingualism not only affects the grey matter but also white matter of the brain.
multilingualism	In fact, multilingualism is so usual that the Tucano are hardly conscious that they do speak different languages as they shift easily from one to another.
multilingualism	Juha Janhunen investigated multilingualism in Hulunbuir (northern Inner Mongolia) and the adjoining section of Heilongjiang (e.g.
multilingualism	Thanks to funding from John Lyon's Charity and the Limbourne Trust, English PEN ran Brave New Voices 2.0, a three-year creative writing and translation project with young refugees and asylum seekers celebrating multilingualism and self-expression.
multilingualism	One of the advantages of learning this way would be to break with serial monolingualism, a condition in which multilingualism doesn't happen on a thorough and smooth manner throughout the speaker's routine.
multilingualism	Various aspects of multilingualism have been studied in the field of neurology.
multilingualism	These include the representation of different language systems in the brain, the effects of multilingualism on the brain's structural plasticity, aphasia in multilingual individuals, and bimodal bilinguals (people who can speak one sign language and one oral language).
multilingualism	Neurological studies of multilingualism are carried out with functional neuroimaging, electrophysiology, and through observation of people who have suffered brain damage.
multilingualism	Insights into the neurology of multilingualism have been gained by the study of multilingual individuals with aphasia, or the loss of one or more languages as a result of brain damage.
multilingualism	It has been found that multilingualism affects the structure, and essentially, the cytoarchitecture of the brain.
multilingualism	Despite the growth of multilingualism in different parts of the world, there are controversies on the positive and negative impacts of bilingualism on the education of children.
multilingualism	Defenders of multilingualism assert that speaking another language contributes to an intelligent and healthy brain whereas opponents of multilingualism vehemently insist that speaking another language does not make children smarter and that on the contrary, it can disturb their learning journey.
multilingualism	Researcher Ellen Bialystok examined the effect of multilingualism on Alzheimer's disease and found that it delays its onset by about 4 years.
multilingualism	More research is required to determine whether learning another language later in life has the same protective effects; nonetheless, it is evident from the variety of studies performed on the effects of multilingualism and bilingualism on the brain, that learning and knowing multiple languages sets the stage for a cognitive healthy life.
multilingualism	Even if Peter did pursue education later in life, there is little indication that Peter would have learnt or spoke fluent Greek in his livelihood before Jesus's call, as multilingualism was generally only seen in towns closely involved in trade.
multilingualism	These included translanguaging (Angela Creese and Adrian Blackledge), transnationalism and multilingualism (Patricia Duff), technology (Steven Thorne) and migration (Ruth Wodak).
multilingualism	Being such a small and multiethnic state surrounded by Spanish-speaking nations, multilingualism is strongly encouraged in the society.
multilingualism	In 1985 Marani started working at the EU Council (DGT) as translator and revisor, a position he maintained until 2006, when he joined the European Commission's Directorate-General for Culture, and from 2010 the Directorate-General for Interpretation, working in particular on multilingualism policy, support to literary translation, lifelong learning and early language learning.
multilingualism	After his racing career he started working as MotoGP commentator for the German TV station Sport1, where his knowledge from his own racing career and multilingualism prove helpful.
multilingualism	He returned to Holland in 1928 where he found work as a translator but soon was hired as an announcer at PCJJ, which had just begun broadcasting and where his multilingualism was an asset.
multilingualism	Studies have also noted that ITM is typically not taught by parents to their deaf children as a first language and usually teaching is influenced by the multilingualism of other users, which is a proposition as to why the language can be considered endangered.
multilingualism	Research has focused on tri- and quadruple language acquisition by children, as well as on societal instances of multilingualism or on cases of individual multilingual repertoires, for example.
multilingualism	A book series on multilingualism and multiple language learning and acquisition is linked to the IAM via the editorial board, which is identical to the board of the IAM.
multilingualism	Later, because of his intellectual and functional knowledge, together with multilingualism he was formally certified as a judicial clerk and interpreter within the British East Africa colonial legal system.
multilingualism	Esau Oriedo's legal acumen, political prescience, and multilingualism made him a valuable resource to the early pan-ethnic and grassroots labor movement in colonial Kenya.
multilingualism	His knowledge of the British Judicature of Acts and multilingualism acumen were vital factors for the freedom movement, especially in promoting a pan-ethnic African nationalistic independent Kenya.
multilingualism	In fact, the value that many inhabitants of Amazonia assign to multilingualism is sometimes seen as a reason for the longevity of the linguistic diversity in the region.
multilingualism	His credentials as an expert in multilingualism are mentioned in International Directory of Multilingualism, Union Latine, Paris (2007).
multilingualism	In 2005, PRAESA responded to a request for educational support for young people in Langa and had the opportunity to focus its passion for reading and multilingualism on setting up community-based reading clubs.
multilingualism	It was reviewed in several major national newspapers and magazines, and its themes of multiculturalism and multilingualism have been the subject of academic analysis.
multilingualism	"In a ""Modern Fiction Studies"" analysis of the novel's themes of multiculturalism, Jeehyun Lim proposed that the use of different languages in the novel reflected Reed's ambivalence toward capitalism, observing that ""Japanese by Spring"" presents a multiculturalism grounded in the Yoruba language as an alternative to a multiculturalism based on multilingualism in English and Japanese, the languages of competing capitalists."
multilingualism	In 2002 Pouzin, along with Jean-Louis Grangé, Jean-Pierre Henninot and Jean-François Morfin, participated in the creation of Eurolinc, which is a non-profit association that promotes multilingualism in domain names.
multilingualism	Further attributes of these international degree courses are the language courses of a foreign language as well as the multilingualism of many other courses and also the cooperation with around 300 foreign universities in 2008.
